start station name,start_lat,start_lng,end_lat,end_lng,NTACode
E 53 St & Lexington Ave,40.75828065,-73.97069431,40.75756989999999,-73.99098507,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.741459000000006,-73.983293,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.759107,-73.959223,MN19
E 47 St & 1 Ave,40.75206862,-73.96784384,40.75299641,-73.98721619,MN19
E 47 St & 2 Ave,40.75323098,-73.97032517,40.70834698,-74.01713445,MN19
E 43 St & 2 Ave,40.75022392,-73.97121414,40.744219,-73.97121214,MN19
E 47 St & Park Ave,40.75510267,-73.97498696,40.76228826,-73.98336183,MN19
E 55 St & 2 Ave,40.75797322,-73.96603308,40.744219,-73.97121214,MN19
E 55 St & 2 Ave,40.75797322,-73.96603308,40.73704984,-73.99009296,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.72966729392978,-73.98067966103555,MN19
E 47 St & Park Ave,40.75510267,-73.97498696,40.756265,-73.964179,MN19
E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,40.76663814,-73.95348296,MN19
E 58 St &  1 Ave (NW Corner),40.759125,-73.96265799999999,40.75323098,-73.97032517,MN19
E 54 St & 1 Ave,40.756265,-73.964179,40.76590936,-73.97634151,MN19
E 55 St & 2 Ave,40.75797322,-73.96603308,40.7381765,-73.97738662,MN19
E 47 St & Park Ave,40.75510267,-73.97498696,40.7687620293096,-73.95840793848038,MN19
1 Ave & E 39 St,40.74714,-73.97113,40.72217444,-73.98368779,MN19
E 56 St & 3 Ave,40.75934501,-73.96759673,40.761573,-73.972628,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.75001986,-73.96905301,MN19
E 51 St & 2 Ave,40.755293,-73.967641,40.71559509,-73.9870295,MN19
E 44 St & 2 Ave,40.75118387463277,-73.97138714790343,40.74765947,-73.98490707,MN19
E 53 St & Lexington Ave,40.75828065,-73.97069431,40.77565541,-73.95068615,MN19
1 Ave & E 44 St,40.75001986,-73.96905301,40.756265,-73.964179,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.782535857724106,-73.97908508777618,MN19
E 48 St & 3 Ave,40.7546011026,-73.971878855,40.76500525,-73.95818491,MN19
1 Ave & E 39 St,40.74714,-73.97113,40.759125,-73.96265799999999,MN19
E 45 St & 3 Ave,40.75255434,-73.97282625,40.75206862,-73.96784384,MN19
E 47 St & Park Ave,40.75510267,-73.97498696,40.77140426,-73.9535166,MN19
E 47 St & 1 Ave,40.75206862,-73.96784384,40.75455731,-73.96592976,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.744219,-73.97121214,MN19
E 47 St & 2 Ave,40.75323098,-73.97032517,40.7172274,-73.98802084,MN19
1 Ave & E 39 St,40.74714,-73.97113,40.756265,-73.964179,MN19
E 44 St & 2 Ave,40.75118387463277,-73.97138714790343,40.73454567,-73.99074142,MN19
E 55 St & 2 Ave,40.75797322,-73.96603308,40.76095756,-73.96724467,MN19
E 53 St & Lexington Ave,40.75828065,-73.97069431,40.75640548,-73.9900262,MN19
E 56 St & 3 Ave,40.75934501,-73.96759673,40.76663814,-73.95348296,MN19
E 58 St &  1 Ave (NW Corner),40.759125,-73.96265799999999,40.7437524099784,-73.94176483154297,MN19
E 47 St & 2 Ave,40.75323098,-73.97032517,40.75929124,-73.98859651,MN19
E 51 St & 2 Ave,40.755293,-73.967641,40.754623240291046,-73.99516761302948,MN19
E 51 St & 2 Ave,40.755293,-73.967641,40.76350532,-73.97109243,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.73221853,-73.98165557,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.76915505,-73.98191841,MN19
E 55 St & 2 Ave,40.75797322,-73.96603308,40.74394314,-73.97966069,MN19
E 47 St & Park Ave,40.75510267,-73.97498696,40.77163851,-73.98261428,MN19
1 Ave & E 39 St,40.74714,-73.97113,40.74290902,-73.97706058,MN19
E 58 St &  1 Ave (NW Corner),40.759125,-73.96265799999999,40.74345335,-74.00004031,MN19
E 47 St & 2 Ave,40.75323098,-73.97032517,40.74286877312112,-73.98918628692627,MN19
1 Ave & E 44 St,40.75001986,-73.96905301,40.720746999999996,-73.986274,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.752643,-73.97499599999999,MN19
E 51 St & Lexington Ave,40.75714758,-73.97207836,40.76471851944339,-73.96222069859505,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.75934501,-73.96759673,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.77677702,-73.95900970000001,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.73047747,-73.99906065,MN19
E 47 St & 1 Ave,40.75206862,-73.96784384,40.75455731,-73.96592976,MN19
E 54 St & 1 Ave,40.756265,-73.964179,40.73827428,-73.98751968,MN19
E 51 St & 2 Ave,40.755293,-73.967641,40.76344058,-73.98268129,MN19
E 58 St &  1 Ave (NW Corner),40.759125,-73.96265799999999,40.7485,-73.941275,MN19
E 58 St &  1 Ave (NW Corner),40.759125,-73.96265799999999,40.7284186,-73.98713956,MN19
E 55 St & 2 Ave,40.75797322,-73.96603308,40.735918,-74.000939,MN19
E 48 St & 3 Ave,40.7546011026,-73.971878855,40.70255088,-73.98940236,MN19
E 51 St & 1 Ave,40.75455731,-73.96592976,40.76132983124814,-73.97982001304626,MN19
E 48 St & 3 Ave,40.7546011026,-73.971878855,40.742684734875695,-73.98671329021455,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.71754834,-74.01322069,MN19
E 43 St & 2 Ave,40.75022392,-73.97121414,40.744219,-73.97121214,MN19
E 47 St & 1 Ave,40.75206862,-73.96784384,40.7892529,-73.93956237,MN19
E 51 St & 2 Ave,40.755293,-73.967641,40.7277140777778,-74.01129573583603,MN19
E 51 St & Lexington Ave,40.75714758,-73.97207836,40.76087502,-74.00277668,MN19
E 47 St & 1 Ave,40.75206862,-73.96784384,40.75206862,-73.96784384,MN19
1 Ave & E 44 St,40.75001986,-73.96905301,40.739445,-73.97680600000001,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.73314259,-73.97573881,MN19
E 54 St & 1 Ave,40.756265,-73.964179,40.761227399999996,-73.96094022,MN19
E 54 St & 1 Ave,40.756265,-73.964179,40.76228826,-73.98336183,MN19
1 Ave & E 39 St,40.74714,-73.97113,40.742684734875695,-73.98671329021455,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.7462009,-73.98855723,MN19
E 51 St & 2 Ave,40.755293,-73.967641,40.76663814,-73.95348296,MN19
E 53 St & Lexington Ave,40.75828065,-73.97069431,40.75714758,-73.97207836,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.730563000000004,-73.973984,MN19
E 51 St & 2 Ave,40.755293,-73.967641,40.75118387463277,-73.97138714790343,MN19
E 51 St & 2 Ave,40.755293,-73.967641,40.74394314,-73.97966069,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.72966729392978,-73.98067966103555,MN19
1 Ave & E 44 St,40.75001986,-73.96905301,40.797470000000004,-73.93504,MN19
